ID,YEAR,d15N,d13C,d2H,d18O,ZONE,Sex,Latitude,Longitude,Delete2
152,2015,20.8,-17.2,-63.73,7.001,WH,1,58.79,-93.244,0
153,1997,20.7,-17.1,NA,NA,LS,0,72.59,-91.413,0
154,2006,18.4,-17.1,-6.8,7.1,WH,0,58.4,-93,1
155,2005,19.1,-17.1,-53.4,9.4,WH,0,57.9,-93.8,0
156,2005,19.1,-17.1,-54.4,9.8,WH,0,58,-93.4,0
157,2006,19.3,-17.1,-58.3,7.3,WH,0,57.5,-92.7,0
158,2006,19.4,-17.1,-71.6,8.6,WH,0,57.5,-92.8,0
159,2005,19.4,-17.1,-54.6,9.1,WH,0,58.4,-94.9,0
160,2005,19.4,-17.1,NA,9.6,WH,0,57.5,-93.6,0
161,2005,19.5,-17.1,-63.9,8.5,WH,0,58.2,-93.8,0
162,2005,19.5,-17.1,-54.9,9,WH,0,58.1,-93.4,0
163,2007,19.7,-17.1,-64,7.4,WH,1,58.5,-93.1,0
164,2005,19.8,-17.1,-58.6,8.9,WH,1,58.5,-93.1,0
165,2005,19.9,-17.1,-61,8.8,WH,1,58.5,-93.1,0
166,2005,19.9,-17.1,NA,9,WH,1,57.2,-90.6,0
167,2005,20.3,-17.1,NA,7.8,WH,1,57.2,-91.1,0
168,2007,20.4,-17.1,-59.2,8.2,WH,1,58.3,-92.9,0
169,2005,20.5,-17.1,NA,8.3,WH,1,57.2,-90.4,0
170,2005,20.5,-17.1,NA,9.2,WH,1,56.8,-89.1,0
171,2007,20.6,-17.1,-62.3,7.2,WH,1,58.5,-93.1,0
172,2007,20.8,-17.1,-76,5.2,WH,1,58.6,-93.1,0
173,2005,21,-17.1,NA,8.3,WH,1,57.1,-90.4,0
174,2017,20.23,-17.09,NA,NA,BB,1,72.88,-78.42,0
175,2017,19.34,-17.03,NA,NA,DS,1,64.96,-66.17,0
176,2006,18.9,-17,-6.4,7.4,WH,0,58.4,-93,1
177,2005,19,-17,NA,8.4,WH,0,57.4,-93.5,0
178,2006,19.1,-17,-62.5,7.2,WH,0,58.1,-93.7,0
179,2006,19.2,-17,-62.7,7.8,WH,1,58,-92.8,0
180,2005,19.3,-17,-56.9,8.3,WH,0,57.7,-93.6,0
181,2006,19.4,-17,-63.2,7.5,WH,1,58.7,-93.2,0
182,2005,19.5,-17,-57.6,9,WH,0,58.3,-93.3,0
183,2006,19.7,-17,-73.1,6.2,WH,1,58.9,-94.6,0
184,2005,19.7,-17,-72.7,7.4,WH,1,58.1,-92.8,0
185,2005,19.8,-17,-56.1,8.4,WH,0,58.2,-93.5,0
186,2005,19.8,-17,NA,9.3,WH,1,56.9,-89.5,0
187,2006,19.9,-17,-66.9,6.5,WH,1,58.5,-93.1,0
188,2006,19.9,-17,-63.4,7.4,WH,1,58.6,-93.1,0
189,2005,19.9,-17,NA,8.6,WH,0,57.4,-93.4,0
190,2006,20,-17,-6.5,8.1,WH,1,58.2,-92.9,1
